Fecha,Temperatura (Celsius)
2024-02-28 00:00:00,26.02
2024-02-28 03:00:00,25.44
2024-02-28 06:00:00,24.39
2024-02-28 09:00:00,22.79
2024-02-28 12:00:00,24.86
2024-02-28 15:00:00,27.61
2024-02-28 18:00:00,29.83
2024-02-28 21:00:00,30.3
2024-02-29 00:00:00,26.27
2024-02-29 03:00:00,25.49
2024-02-29 06:00:00,24.8
2024-02-29 09:00:00,23.75
2024-02-29 12:00:00,23.91
2024-02-29 15:00:00,26.49
2024-02-29 18:00:00,26.16
2024-02-29 21:00:00,24.56
2024-03-01 00:00:00,22.27
2024-03-01 03:00:00,21.53
2024-03-01 06:00:00,21.28
2024-03-01 09:00:00,20.98
2024-03-01 12:00:00,22.34
2024-03-01 15:00:00,23.96
2024-03-01 18:00:00,25.49
2024-03-01 21:00:00,24.8
2024-03-02 00:00:00,22.95
2024-03-02 03:00:00,23.17
2024-03-02 06:00:00,22.69
2024-03-02 09:00:00,22.54
2024-03-02 12:00:00,22.38
2024-03-02 15:00:00,25.07
2024-03-02 18:00:00,26.81
2024-03-02 21:00:00,26.95
2024-03-03 00:00:00,25.43
2024-03-03 03:00:00,23.18
2024-03-03 06:00:00,19.88
2024-03-03 09:00:00,18.68
2024-03-03 12:00:00,18.58
2024-03-03 15:00:00,23.93
2024-03-03 18:00:00,26.6
2024-03-03 21:00:00,25.5
